filename,before_hash,ctxr_hash,mipmaps,origin_folder,opacity_stripped,upscaled,upscaler_version,upscaler_type,non_upscaled_version,ctxr3_converted,npot_resized
00004ad1,7ea09e598918973c71a39e3b260b5f4cde312a5e,c5bcf3cfaa4d958e1aac95d5fcf487e4c6a330dd,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0000c4dd,b086c7eb68fd82ccb8f67dc63ad3eb91443d162b,4e9aa69d98f1d5a8cf08e935cea039aee5e73985,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0000c4dd_d0bf2476e36b7e6db64e892154845abf,c3e68e7776fd3c548299ed1dc285f3e9eb3678ef,94fcbd6e1108e1ff9a38a8b37c03b441042dc829,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0000f06e,de0655de816cf602a7bb8c7990ea9e2b28d89ee0,002ec148606fdaddd9885941dd06ef315b743f29,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00012016,cf382aefe1c42776529d5c84ae89d27a03601cf8,e7b5d4b398c7690d02d24aa1acdbbcb4d73eb21b,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00022016,40a9a87df767ec1e3cf8a7e34bd94958460641ba,1773cafe3e315e09fafd11112ba9e0217c2e45cc,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00024ad1,345769608daaf688d3cfee2df0ac12eb694d2e24,ee2771ba20bd34e6799852fa10231103b3ff7b58,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0002936b,402db28faee65b71b691fca0b37465f1c30322e4,69b1e55baef3242bb4494246b77b9b03546f6772,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0002cca2,ce62ff34ddef3efc00b75c386f450b76a391162c,02253b82813505d3b6020c0e936a71e4e161bee3,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00032016,735de49ea0f02e4da2eefc9d549cfffb6719b318,1c2440b8e3e2cd4e4c94d8c9439ecb1a85602531,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
000382c8,d9e08757018c5a27d02e3b4109bef614a1b02a1e,e3cef6ec940433d2d8441a540ae5a1a76504972a,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
000385a3,693be16e9d5ae72c59b1f3132a5c7e37aec6a9e6,f8739fcb3453ee1c60573811021e88ad5816f988,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0003c3de,592841db4086094b604d6c08ca2f90811c704063,da2b1898426f79f94e1fcef545e42fcff54f6c7b,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
0003c3de_59747dd0818a4f3d78cd7938115b9093,d5eb4b7815e704659a82c9e8d69c91a5066259e7,ad2861fb98d537ffd80603b8384900ea3955b717,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00042016,ccf0535bb2e4cb13206ef010e2dc2949bacefce1,410f4d5ff91fe21349bbf1eec1b7db439bcd98fc,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
000430f2,e6a9d90fa473637f9f373782e41c99a74c0b6ab8,ba0f0278c448e70627764cef7e1d8b46d3034e31,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00052016,624e91cdf6b40cd1ba09a9647a4addc945bd0c67,bb61db9a7156afa80bfb87924ead265e968449d4,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00058f79,6e795adefdb848e968e3ac1ae9230d6d96a4aa9c,8f49b61350a69bcc2be64ad703b2e8c979ab85ab,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00062016,e4e96386c023113e8faf6e8c22ddba1f70bb6123,e6bbd553afb0ebd867c1634321cd053383988e30,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00065bbe,5cb6ecc1b0d20f94d5a817da121d44eae90227ae,fa1838b32302b2a476b6dae08a1d7d30dd00bdf9,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00068f79,887baa63bdc95e477eb1d600c79bf1aa959904a9,393bff5a8a8c0ddb7dad79a36e953d157c4ba43f,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
00072016,102e02116aec10313ceef75ee8b79a9fe8e88399,814ead54841e001d00323d695b3bf2782ba55239,true,ps2 textures\HAS ALPHA\bp_remade\no_mip_fixes\ui,false,true,5,remarci_4x,0,false,false
